Exp_ID,Model,Data_Type,Context,Image_ID,Morph_Characteristic,Statistical_Metric,prompt_tokens,completion_tokens,total_tokens,compute_time,response,ground_truth,pct_error
EXP000065,gpt-4o,Processed/Table,Zero-shot,1,area,mean,1715.0,8.0,1723.0,0.8083,4593.364583333333,4593.364583333333,0.0
EXP000066,gpt-4o,Processed/Table,Zero-shot,1,area,median,1715.0,4.0,1719.0,0.4573,3058.0,3058.0,0.0
EXP000067,gpt-4o,Processed/Table,Zero-shot,1,area,range,1715.0,5.0,1720.0,0.6784,34747.0,34747.0,0.0
EXP000068,gpt-4o,Processed/Table,Zero-shot,1,area,min,1715.0,3.0,1718.0,0.4645,66.0,66.0,0.0
EXP000069,gpt-4o,Processed/Table,Zero-shot,1,area,max,1715.0,5.0,1720.0,0.5325,106600.0,34813.0,206.2075
EXP000070,gpt-4o,Processed/Table,Zero-shot,1,area,IQR,1716.0,4.0,1720.0,0.5727,4465.5,4465.5,0.0
EXP000071,gpt-4o,Processed/Table,Zero-shot,1,area,Q1,1716.0,4.0,1720.0,0.5955,1300.25,1300.25,0.0
EXP000072,gpt-4o,Processed/Table,Zero-shot,1,area,Q3,1716.0,4.0,1720.0,0.505,5765.75,5765.75,0.0
EXP000073,gpt-4o,Processed/Table,Zero-shot,1,area_convex,mean,1717.0,8.0,1725.0,0.5295,5664.541666666667,5664.541666666667,0.0
EXP000074,gpt-4o,Processed/Table,Zero-shot,1,area_convex,median,1717.0,4.0,1721.0,0.5908,3661.5,3661.5,0.0
EXP000075,gpt-4o,Processed/Table,Zero-shot,1,area_convex,range,1717.0,4.0,1721.0,0.4129,53052.0,53052.0,0.0
EXP000076,gpt-4o,Processed/Table,Zero-shot,1,area_convex,min,1717.0,4.0,1721.0,0.5872,66.0,66.0,0.0
EXP000077,gpt-4o,Processed/Table,Zero-shot,1,area_convex,max,1717.0,5.0,1722.0,0.5654,53118.0,53118.0,0.0
EXP000078,gpt-4o,Processed/Table,Zero-shot,1,area_convex,IQR,1718.0,4.0,1722.0,0.6083,5568.75,5568.75,0.0
EXP000079,gpt-4o,Processed/Table,Zero-shot,1,area_convex,Q1,1718.0,4.0,1722.0,0.496,1379.0,1379.0,0.0
EXP000080,gpt-4o,Processed/Table,Zero-shot,1,area_convex,Q3,1718.0,5.0,1723.0,0.8977,6947.75,6947.75,0.0
EXP000081,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,mean,1717.0,8.0,1725.0,0.4964,99.02022332598096,99.02022332598096,0.0
EXP000082,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,median,1717.0,7.0,1724.0,0.4949,90.39673264447228,90.39673264447228,0.0
EXP000083,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,range,1717.0,8.0,1725.0,0.5579,380.4704457640824,380.4704457640824,0.0
EXP000084,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,min,1717.0,8.0,1725.0,1.0317,10.248182904682984,10.248182904682984,0.0
EXP000085,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,max,1717.0,8.0,1725.0,0.4899,390.7186286687654,390.7186286687654,0.0
EXP000086,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,IQR,1718.0,7.0,1725.0,0.5334,70.45422756181227,70.45422756181227,0.0
EXP000087,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,Q1,1718.0,8.0,1726.0,0.5396,53.02260143900017,53.02260143900017,0.0
EXP000088,gpt-4o,Processed/Table,Zero-shot,1,major_axis_length,Q3,1718.0,7.0,1725.0,0.6041,123.47682900081244,123.47682900081244,0.0
EXP000089,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,mean,1717.0,7.0,1724.0,0.3747,53.175801329101866,53.175801329101866,0.0
EXP000090,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,median,1717.0,8.0,1725.0,0.3739,49.93957115414702,49.93957115414702,0.0
EXP000091,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,range,1717.0,7.0,1724.0,0.4533,173.06705061805522,173.06705061805522,0.0
EXP000092,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,min,1717.0,7.0,1724.0,0.4018,8.311624597053086,8.311624597053086,0.0
EXP000093,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,max,1717.0,7.0,1724.0,0.3623,181.3786752151083,181.3786752151083,0.0
EXP000094,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,IQR,1718.0,8.0,1726.0,0.5235,43.99364266185869,43.99364266185869,0.0
EXP000095,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,Q1,1718.0,7.0,1725.0,0.3209,28.08934148521245,28.08934148521245,0.0
EXP000096,gpt-4o,Processed/Table,Zero-shot,1,minor_axis_length,Q3,1718.0,8.0,1726.0,0.3916,72.08298414707114,72.08298414707114,0.0
EXP000097,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,mean,1716.0,8.0,1724.0,0.5148,0.7921414149503283,0.7921414149503283,0.0
EXP000098,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,median,1716.0,9.0,1725.0,1.1936,0.8182901990745339,0.8182901990745339,0.0
EXP000099,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,range,1716.0,8.0,1724.0,0.8454,0.6550293511612555,0.6550293511612555,0.0
EXP000100,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,min,1716.0,9.0,1725.0,0.714,0.3325587843086343,0.3325587843086343,0.0
EXP000101,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,max,1716.0,8.0,1724.0,0.6263,0.9875881354698898,0.9875881354698898,0.0
EXP000102,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,IQR,1717.0,8.0,1725.0,0.7186,0.1690004656014069,0.1690004656014069,0.0
EXP000103,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,Q1,1717.0,8.0,1725.0,0.6654,0.724580223783421,0.724580223783421,0.0
EXP000104,gpt-4o,Processed/Table,Zero-shot,1,eccentricity,Q3,1717.0,9.0,1726.0,0.7094,0.8935806893848279,0.8935806893848279,0.0
EXP000105,gpt-4o,Processed/Table,Zero-shot,1,orientation,mean,1715.0,9.0,1724.0,0.8641,-0.0170555890488529,-0.0170555890488529,0.0
EXP000106,gpt-4o,Processed/Table,Zero-shot,1,orientation,median,1715.0,10.0,1725.0,0.8309,-0.0486858135136534,-0.0486858135136534,0.0
EXP000107,gpt-4o,Processed/Table,Zero-shot,1,orientation,range,1715.0,8.0,1723.0,0.4947,3.101994499564943,3.101994499564943,0.0
EXP000108,gpt-4o,Processed/Table,Zero-shot,1,orientation,min,1715.0,9.0,1724.0,0.8078,-1.54704303971398,-1.54704303971398,0.0
EXP000109,gpt-4o,Processed/Table,Zero-shot,1,orientation,max,1715.0,7.0,1722.0,0.795,1.554951459850963,1.554951459850963,0.0
EXP000110,gpt-4o,Processed/Table,Zero-shot,1,orientation,IQR,1716.0,8.0,1724.0,1.1707,1.2700991917128728,1.2700991917128728,0.0
EXP000111,gpt-4o,Processed/Table,Zero-shot,1,orientation,Q1,1716.0,8.0,1724.0,1.2965,-0.621746491149171,-0.621746491149171,0.0
EXP000112,gpt-4o,Processed/Table,Zero-shot,1,orientation,Q3,1716.0,9.0,1725.0,0.6633,0.6483527005637018,0.6483527005637018,0.0
EXP000113,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,mean,1717.0,8.0,1725.0,0.3637,66.6928025077247,66.6928025077247,0.0
EXP000114,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,median,1717.0,7.0,1724.0,0.368,62.395926368990544,62.395926368990544,0.0
EXP000115,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,range,1717.0,7.0,1724.0,0.459,201.36872163964296,201.36872163964296,0.0
EXP000116,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,min,1717.0,7.0,1724.0,0.4652,9.16699568847508,9.16699568847508,0.0
EXP000117,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,max,1717.0,7.0,1724.0,0.4182,210.53571732811804,210.53571732811804,0.0
EXP000118,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,IQR,1718.0,7.0,1725.0,0.5047,45.00339315987759,45.00339315987759,0.0
EXP000119,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,Q1,1718.0,7.0,1725.0,0.6335,40.67632940052496,40.67632940052496,0.0
EXP000120,gpt-4o,Processed/Table,Zero-shot,1,equivalent_diameter,Q3,1718.0,8.0,1726.0,0.3832,85.67972256040255,85.67972256040255,0.0
EXP000121,gpt-4o,Processed/Table,Zero-shot,1,circularity,mean,1716.0,9.0,1725.0,0.8144,0.6033407809783572,0.6033407809783572,0.0
EXP000122,gpt-4o,Processed/Table,Zero-shot,1,circularity,median,1716.0,9.0,1725.0,0.8702,0.6290515260070296,0.6290515260070296,0.0
EXP000123,gpt-4o,Processed/Table,Zero-shot,1,circularity,range,1716.0,9.0,1725.0,1.018,0.8268893941225322,0.8268893941225322,0.0
EXP000124,gpt-4o,Processed/Table,Zero-shot,1,circularity,min,1716.0,9.0,1725.0,1.0079,0.2463479327924413,0.2463479327924413,0.0
EXP000125,gpt-4o,Processed/Table,Zero-shot,1,circularity,max,1716.0,8.0,1724.0,1.7013,1.0732373269149735,1.0732373269149735,0.0
EXP000126,gpt-4o,Processed/Table,Zero-shot,1,circularity,IQR,1717.0,9.0,1726.0,0.9455,0.2658681571603665,0.2658681571603665,0.0
EXP000127,gpt-4o,Processed/Table,Zero-shot,1,circularity,Q1,1717.0,8.0,1725.0,0.7982,0.4607119829938091,0.4607119829938091,0.0
EXP000128,gpt-4o,Processed/Table,Zero-shot,1,circularity,Q3,1717.0,9.0,1726.0,0.7955,0.7265801401541756,0.7265801401541756,0.0
EXP000129,gpt-4o,Processed/Table,Zero-shot,2,area,mean,1674.0,7.0,1681.0,0.5039,6019.569620253164,6019.569620253164,0.0
EXP000130,gpt-4o,Processed/Table,Zero-shot,2,area,median,1674.0,4.0,1678.0,0.5511,3534.0,3534.0,0.0
EXP000131,gpt-4o,Processed/Table,Zero-shot,2,area,range,1674.0,4.0,1678.0,0.4441,23229.0,23229.0,0.0
EXP000132,gpt-4o,Processed/Table,Zero-shot,2,area,min,1674.0,3.0,1677.0,0.5238,159.0,159.0,0.0
EXP000133,gpt-4o,Processed/Table,Zero-shot,2,area,max,1674.0,5.0,1679.0,0.6411,60738.0,23388.0,159.6973
EXP000134,gpt-4o,Processed/Table,Zero-shot,2,area,IQR,1675.0,4.0,1679.0,0.6813,6452.0,6452.0,0.0
EXP000135,gpt-4o,Processed/Table,Zero-shot,2,area,Q1,1675.0,5.0,1680.0,0.6657,1203.0,1203.0,0.0
EXP000136,gpt-4o,Processed/Table,Zero-shot,2,area,Q3,1675.0,5.0,1680.0,0.7129,7655.0,7655.0,0.0
EXP000137,gpt-4o,Processed/Table,Zero-shot,2,area_convex,mean,1676.0,7.0,1683.0,0.6453,7476.025316455696,7476.025316455696,0.0
EXP000138,gpt-4o,Processed/Table,Zero-shot,2,area_convex,median,1676.0,4.0,1680.0,0.4469,4472.0,4472.0,0.0
EXP000139,gpt-4o,Processed/Table,Zero-shot,2,area_convex,range,1676.0,4.0,1680.0,0.48,31112.0,31112.0,0.0
EXP000140,gpt-4o,Processed/Table,Zero-shot,2,area_convex,min,1676.0,3.0,1679.0,0.7459,182.0,182.0,0.0
EXP000141,gpt-4o,Processed/Table,Zero-shot,2,area_convex,max,1676.0,5.0,1681.0,0.3565,31294.0,31294.0,0.0
EXP000142,gpt-4o,Processed/Table,Zero-shot,2,area_convex,IQR,1677.0,5.0,1682.0,0.5381,9226.0,9226.0,0.0
EXP000143,gpt-4o,Processed/Table,Zero-shot,2,area_convex,Q1,1677.0,5.0,1682.0,0.573,1338.5,1338.5,0.0
EXP000144,gpt-4o,Processed/Table,Zero-shot,2,area_convex,Q3,1677.0,5.0,1682.0,0.5864,10564.5,10564.5,0.0
EXP000145,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,mean,1676.0,7.0,1683.0,0.9886,115.19789926824376,115.19789926824376,0.0
EXP000146,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,median,1676.0,7.0,1683.0,0.6118,106.94754544996572,106.94754544996572,0.0
EXP000147,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,range,1676.0,7.0,1683.0,0.6428,340.7998355495132,340.7998355495132,0.0
EXP000148,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,min,1676.0,7.0,1683.0,0.4868,19.828445269372267,19.828445269372267,0.0
EXP000149,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,max,1676.0,7.0,1683.0,0.6538,360.6282808188855,360.6282808188855,0.0
EXP000150,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,IQR,1677.0,7.0,1684.0,0.5342,103.61062133985658,103.61062133985658,0.0
EXP000151,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,Q1,1677.0,7.0,1684.0,0.6231,56.45964665125521,56.45964665125521,0.0
EXP000152,gpt-4o,Processed/Table,Zero-shot,2,major_axis_length,Q3,1677.0,8.0,1685.0,0.5291,160.0702679911118,160.0702679911118,0.0
EXP000153,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,mean,1676.0,8.0,1684.0,0.3163,60.29203922044053,60.29203922044053,0.0
EXP000154,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,median,1676.0,8.0,1684.0,0.481,49.00779007946192,49.00779007946192,0.0
EXP000155,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,range,1676.0,8.0,1684.0,0.3921,182.8838287784259,182.8838287784259,0.0
EXP000156,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,min,1676.0,7.0,1683.0,0.4955,9.033077059232935,9.033077059232935,0.0
EXP000157,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,max,1676.0,8.0,1684.0,0.4078,191.91690583765885,191.91690583765885,0.0
EXP000158,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,IQR,1677.0,7.0,1684.0,0.5397,51.72805270415014,51.72805270415014,0.0
EXP000159,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,Q1,1677.0,7.0,1684.0,0.5532,31.03985210528564,31.03985210528564,0.0
EXP000160,gpt-4o,Processed/Table,Zero-shot,2,minor_axis_length,Q3,1677.0,7.0,1684.0,0.6485,82.76790480943578,82.76790480943578,0.0
EXP000161,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,mean,1675.0,8.0,1683.0,0.438,0.7878257607706088,0.7878257607706088,0.0
EXP000162,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,median,1675.0,8.0,1683.0,0.5818,0.8243284735161556,0.8243284735161556,0.0
EXP000163,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,range,1675.0,8.0,1683.0,1.0137,0.5966531338549529,0.5966531338549529,0.0
EXP000164,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,min,1675.0,7.0,1682.0,0.6525,0.37087797369788,0.37087797369788,0.0
EXP000165,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,max,1675.0,9.0,1684.0,0.9687,0.9675311075528328,0.9675311075528328,0.0
EXP000166,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,IQR,1676.0,9.0,1685.0,0.5787,0.2455778665928274,0.2455778665928274,0.0
EXP000167,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,Q1,1676.0,9.0,1685.0,0.6202,0.6691998374746335,0.6691998374746335,0.0
EXP000168,gpt-4o,Processed/Table,Zero-shot,2,eccentricity,Q3,1676.0,7.0,1683.0,1.0328,0.914777704067461,0.914777704067461,0.0
EXP000169,gpt-4o,Processed/Table,Zero-shot,2,orientation,mean,1674.0,9.0,1683.0,0.5624,0.1011726996578028,0.1011726996578028,0.0
EXP000170,gpt-4o,Processed/Table,Zero-shot,2,orientation,median,1674.0,8.0,1682.0,0.7393,0.0591970604096885,0.0591970604096885,0.0
EXP000171,gpt-4o,Processed/Table,Zero-shot,2,orientation,range,1674.0,8.0,1682.0,0.719,3.114710504432922,3.114710504432922,0.0
EXP000172,gpt-4o,Processed/Table,Zero-shot,2,orientation,min,1674.0,10.0,1684.0,0.7087,-1.5653695086395196,-1.5653695086395196,0.0
EXP000173,gpt-4o,Processed/Table,Zero-shot,2,orientation,max,1674.0,8.0,1682.0,0.7026,1.5493409957934026,1.5493409957934026,0.0
EXP000174,gpt-4o,Processed/Table,Zero-shot,2,orientation,IQR,1675.0,9.0,1684.0,0.9129,1.6211911273367794,1.6211911273367794,0.0
EXP000175,gpt-4o,Processed/Table,Zero-shot,2,orientation,Q1,1675.0,10.0,1685.0,0.6657,-0.6222946401772399,-0.6222946401772399,0.0
EXP000176,gpt-4o,Processed/Table,Zero-shot,2,orientation,Q3,1675.0,9.0,1684.0,0.6892,0.9988964871595394,0.9988964871595394,0.0
EXP000177,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,mean,1676.0,7.0,1683.0,0.479,76.25296736273934,76.25296736273934,0.0
EXP000178,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,median,1676.0,7.0,1683.0,0.4126,67.07927065117856,67.07927065117856,0.0
EXP000179,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,range,1676.0,8.0,1684.0,0.43,158.33623748933238,158.33623748933238,0.0
EXP000180,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,min,1676.0,8.0,1684.0,0.4216,14.228319915327,14.228319915327,0.0
EXP000181,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,max,1676.0,8.0,1684.0,0.3902,172.56455740465938,172.56455740465938,0.0
EXP000182,gpt-4o,Processed/Table,Zero-shot,2,equivalent_diameter,IQR,1677.0,8.0,1685.0,0.5265,59.61305939389052,59.61305939389052,0.0
